DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,PCODE2,centroid_lon,centroid_lat
0,2011,0705,CHILLA,07,EL ORO,EC0705,-79.62763894344572,-3.4415954319026363
0,2011,0706,EL GUABO,07,EL ORO,EC0706,-79.7886528429112,-3.1693540605174135
0,2011,0707,HUAQUILLAS,07,EL ORO,EC0707,-80.18555154363656,-3.460838882548939
0,2011,0708,MARCABELI,07,EL ORO,EC0708,-79.931895309426,-3.779914679280689
0,2011,0709,PASAJE,07,EL ORO,EC0709,-79.7343702759402,-3.328705459914439
0,2011,0710,PIÑAS,07,EL ORO,EC0710,-79.78079624498267,-3.7032125432941148
0,2011,0711,PORTOVELO,07,EL ORO,EC0711,-79.50273559930743,-3.740894285573883
0,2011,0712,SANTA ROSA,07,EL ORO,EC0712,-79.97272245125473,-3.4522100361770947
0,2011,0713,ZARUMA,07,EL ORO,EC0713,-79.52012286606174,-3.5453061691854386
0,2011,0714,LAS LAJAS,07,EL ORO,EC0714,-80.0685032599294,-3.8037519061975646
0,2011,0801,ESMERALDAS,08,ESMERALDAS,EC0801,-79.6259471912895,0.7957255476455354
0,2011,0802,ELOY ALFARO,08,ESMERALDAS,EC0802,-78.95082317135328,0.7498254832777529
0,2011,0803,MUISNE,08,ESMERALDAS,EC0803,-79.93395914818885,0.5347053258249768
0,2011,0804,QUININDE,08,ESMERALDAS,EC0804,-79.43899036311187,0.36207587036453687
0,2011,0805,SAN LORENZO,08,ESMERALDAS,EC0805,-78.68034053688147,0.9955708191517665
0,2011,0806,ATACAMES,08,ESMERALDAS,EC0806,-79.85937553062601,0.7879763901396675
0,2011,0807,RIOVERDE,08,ESMERALDAS,EC0807,-79.34063760224677,0.852727940642599
0,2011,0808,LA CONCORDIA,08,ESMERALDAS,EC0808,-79.44053807958734,-0.04824282398255075
0,2011,0901,GUAYAQUIL,09,GUAYAS,EC0901,-80.09333830506066,-2.4919128733393268
0,2011,0902,ALFREDO BAQUERIZO MORENO,09,GUAYAS,EC0902,-79.54737907165052,-1.9469518570581272
0,2011,0903,BALAO,09,GUAYAS,EC0903,-79.7341081698535,-2.892555498409784
0,2011,0904,BALZAR,09,GUAYAS,EC0904,-79.90727809809728,-1.2903049128277644
0,2011,0905,COLIMES,09,GUAYAS,EC0905,-80.08762072934722,-1.5310012509132618
0,2011,0906,DAULE,09,GUAYAS,EC0906,-79.94319043489453,-1.9008216728790581
0,2011,0907,DURAN,09,GUAYAS,EC0907,-79.78238281549258,-2.2302179528536046
0,2011,0908,EMPALME,09,GUAYAS,EC0908,-79.66018270896089,-0.987873547232876
0,2011,0909,EL TRIUNFO,09,GUAYAS,EC0909,-79.36019688915985,-2.2949718282661298
0,2011,0910,MILAGRO,09,GUAYAS,EC0910,-79.56024163888135,-2.1182766992535424
0,2011,0911,NARANJAL,09,GUAYAS,EC0911,-79.63103771714408,-2.541324704641782
0,2011,0912,NARANJITO,09,GUAYAS,EC0912,-79.39780498717833,-2.154126055002446
0,2011,0913,PALESTINA,09,GUAYAS,EC0913,-79.9193981536717,-1.6368960565082908
0,2011,0914,PEDRO CARBO,09,GUAYAS,EC0914,-80.28902560543193,-1.8510088872187314
0,2011,0916,SAMBORONDON,09,GUAYAS,EC0916,-79.78306308518277,-1.9830318824191557
0,2011,0918,SANTA LUCIA,09,GUAYAS,EC0918,-80.03519668600438,-1.7145329380992171
0,2011,0919,SALITRE,09,GUAYAS,EC0919,-79.8027255016773,-1.8049710695466572
0,2011,0920,SAN JACINTO DE YAGUACHI,09,GUAYAS,EC0920,-79.67928195721572,-2.1436965263840775
0,2011,0921,PLAYAS,09,GUAYAS,EC0921,-80.43809339454472,-2.557090602112567
0,2011,0922,SIMON BOLIVAR,09,GUAYAS,EC0922,-79.40757069554097,-2.037311308750606
0,2011,0923,CRNEL. MARCELINO MARIDUEÑA,09,GUAYAS,EC0923,-79.38223964615649,-2.239237995646381
0,2011,0924,LOMAS DE SARGENTILLO,09,GUAYAS,EC0924,-80.08019824658723,-1.8501552814912192
0,2011,0925,NOBOL,09,GUAYAS,EC0925,-80.04951457273131,-1.9652605369848588
0,2011,0927,GNRAL. ANTONIO ELIZALDE,09,GUAYAS,EC0927,-79.20202325793834,-2.1563331223983124
0,2011,0928,ISIDRO AYORA,09,GUAYAS,EC0928,-80.16251522339213,-1.9623630818331192
0,2011,1001,IBARRA,10,IMBABURA,EC1001,-78.17713952529319,0.5089403951294608
0,2011,1002,ANTONIO ANTE,10,IMBABURA,EC1002,-78.19971860612188,0.3335653529064196
0,2011,1003,COTACACHI,10,IMBABURA,EC1003,-78.5837291828485,0.357158731022125
0,2011,1004,OTAVALO,10,IMBABURA,EC1004,-78.32315387187543,0.2272177744243746
0,2011,1005,PIMAMPIRO,10,IMBABURA,EC1005,-77.93434432825961,0.2884244338891212
