id_canton,name_canton,0401,0402,0406
0921,Playas,33.33,4.76,
0711,Portovelo,,,
0106,Pucará,71.43,14.29,
1301,Portoviejo,31.82,15.03,3.15
1204,Puebloviejo,42.86,28.57,
1319,Puerto López,71.43,7.14,
1709,Puerto Quito,71.43,11.43,
2103,Putumayo,71.43,21.43,
0504,Pujilí,44.64,35.71,
1110,Puyango,71.43,9.52,
1806,Quero,59.52,14.29,
1205,Quevedo,52.99,5.98,5.13
1115,Quilanga,42.86,57.14,
1213,Quinsaloma,57.14,4.76,
1701,Quito,13.14,3.0,2.55
0804,Quinindé,63.47,14.97,
0601,Riobamba,19.9,10.2,2.55
0807,Rioverde,57.83,26.51,
1507,Quijos,14.29,,
1312,Rocafuerte,33.33,30.95,
1705,Rumiñahui,7.79,2.6,
2403,Salinas,42.86,14.29,
0505,Salcedo,22.86,22.86,
0916,Samborondón,45.83,25.0,
0107,San Fernando,57.14,14.29,
0919,Salitre,50.42,28.57,
2001,San Cristóbal,24.07,,5.56
1408,San Juan Bosco,28.57,,
0805,San Lorenzo,,,
0205,San Miguel,47.62,28.57,
0203,San José de Chimbo,,,
1006,San Miguel de Urcuquí,42.86,23.81,
1707,San Miguel de los Bancos,85.71,,
1807,San Pedro de Pelileo,34.82,10.71,
0406,San Pedro de Huaca,42.86,,
1313,Santa Ana,37.5,46.43,
2003,Santa Cruz,29.91,,
1603,Santa Clara,,,
1322,San Vicente,66.67,16.67,
2401,Santa Elena,49.69,12.42,16.15
0108,Santa Isabel,28.57,50.0,
0918,Santa Lucía,52.38,33.33,
1405,Santiago,,,
0712,Santa Rosa,32.86,15.71,
2301,Santo Domingo,50.99,7.93,7.65
1808,Santiago de Píllaro,33.93,10.71,
0506,Saquisilí,28.57,35.71,
1111,Saraguro,7.14,78.57,
0113,Sevilla de Oro,50.0,28.57,
2104,Shushufindi,46.94,12.24,
0507,Sigchos,38.1,38.1,
0109,Sígsig,42.86,42.86,
0922,Simón Bolívar,57.5,17.5,
1112,Sozoranga,35.71,28.57,
1314,Sucre,64.29,17.14,
1406,Sucúa,47.62,9.52,
0307,Suscal,,,
1501,Tena,56.83,7.19,6.47
2105,Sucumbíos,42.86,14.29,
1409,Taisha,35.71,57.14,
1809,Tisaleo,42.86,,
0401,Tulcán,36.61,13.39,2.68
1412,Tiwintza,71.43,14.29,
1315,Tosagua,50.0,28.57,
1211,Valencia,57.14,16.33,
1207,Ventanas,42.86,20.78,
1316,Veinticuatro de Mayo,35.71,35.71,
1208,Vinces,57.14,17.86,
0920,Yaguachi,48.98,8.16,
1206,Urdaneta,54.29,31.43,
1904,Yacuambi,,,
1901,Zamora,44.68,12.77,4.26
1905,Yantzaza,33.33,15.94,
0713,Zaruma,42.86,9.52,
1113,Zapotillo,42.86,50.0,
1104,Celica,25.0,57.14,
